freq,currency,estruct,ecase,geo\TIME_PERIOD	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 
A,EUR,NET,P1_NCH_AW50,AT	15319.61 	15644.71 	15930.77 	16135.38 	16523.60 	16832.55 	17605.87 	18080.85 	18428.12 	19046.96 
A,EUR,NET,P1_NCH_AW50,BE	15720.64 	16155.90 	16628.54 	17057.94 	17200.17 	17433.61 	18256.11 	18658.25 	19425.90 	20090.53 
A,EUR,NET,P1_NCH_AW50,BG	1601.17 	1698.22 	1799.23 	1899.03 	2016.86 	2169.57 	2344.52 	2566.37 	2805.68 	3015.15 
A,EUR,NET,P1_NCH_AW50,CY	: 	: 	: 	: 	10466.54 	: 	: 	10467.93 	10726.55 	11030.73 
A,EUR,NET,P1_NCH_AW50,CZ	4897.24 	5098.07 	5131.47 	4958.95 	4788.23 	4959.67 	5184.11 	5620.21 	6130.78 	6455.75 
A,EUR,NET,P1_NCH_AW50,DE	14528.53 	14923.50 	15281.22 	15528.82 	15896.52 	16254.16 	16631.32 	16904.02 	17460.85 	18080.72 
A,EUR,NET,P1_NCH_AW50,DK	17367.89 	17778.94 	18017.05 	18200.41 	18453.01 	18632.53 	18812.99 	19108.75 	19704.34 	19950.62 
A,EUR,NET,P1_NCH_AW50,EA19	13063.15 	13304.74 	13577.03 	13840.78 	14176.53 	14142.07 	14634.58 	14823.74 	15207.61 	15844.35 
A,EUR,NET,P1_NCH_AW50,EE	4091.29 	4343.57 	4587.77 	4904.29 	5138.91 	5504.01 	6211.59 	6332.72 	7392.97 	7937.69 
A,EUR,NET,P1_NCH_AW50,EL	10145.47 	9530.22 	9265.39 	8809.71 	8955.03 	8802.04 	8716.83 	8782.72 	8871.00 	8916.92 
A,EUR,NET,P1_NCH_AW50,ES	11194.70 	11379.49 	11446.04 	11478.96 	11519.75 	11927.12 	11919.80 	11947.71 	12376.67 	12894.32 
A,EUR,NET,P1_NCH_AW50,EU15	14040.59 	14285.20 	14839.67 	15014.48 	15474.12 	15906.99 	15971.11 	16017.07 	16364.17 	17023.60 
A,EUR,NET,P1_NCH_AW50,EU27_2020	: 	: 	: 	12059.74 	12315.07 	12300.00 	12707.70 	12916.55 	13277.45 	13838.73 
A,EUR,NET,P1_NCH_AW50,EU28	: 	: 	: 	12811.67 	13190.70 	13557.44 	13635.30 	13727.14 	14083.60 	14681.84 
A,EUR,NET,P1_NCH_AW50,FI	16030.57 	16405.17 	17022.24 	17220.64 	17275.45 	17464.81 	17803.59 	18095.29 	18264.92 	18669.59 
A,EUR,NET,P1_NCH_AW50,FR	14042.93 	14237.83 	14418.13 	14841.75 	14998.16 	13540.52 	14797.78 	14969.66 	15312.09 	16563.25 
A,EUR,NET,P1_NCH_AW50,HR	: 	: 	: 	4346.31 	4334.51 	4518.91 	4656.84 	4981.71 	5281.28 	5465.73 
A,EUR,NET,P1_NCH_AW50,HU	3457.66 	3464.05 	3215.68 	3237.54 	3239.21 	3351.78 	3569.36 	4011.86 	4293.47 	4548.64 
A,EUR,NET,P1_NCH_AW50,IE	19457.01 	18638.95 	18913.88 	18832.07 	18944.27 	19243.25 	19768.23 	20163.46 	20837.37 	21425.09 
A,EUR,NET,P1_NCH_AW50,IS	13525.15 	14267.79 	15478.97 	16509.42 	18605.36 	20813.95 	24428.87 	28483.09 	28479.10 	27347.27 
A,EUR,NET,P1_NCH_AW50,IT	11057.57 	11193.90 	11366.63 	11531.76 	12475.05 	12859.23 	12881.04 	12905.38 	13017.30 	13191.70 
A,EUR,NET,P1_NCH_AW50,JP	16775.40 	17665.13 	19341.43 	15070.71 	14271.45 	15201.86 	17148.59 	16281.16 	15996.17 	17164.26 
A,EUR,NET,P1_NCH_AW50,LT	2786.73 	2864.87 	2982.08 	3141.66 	3358.58 	3543.18 	3895.72 	4398.84 	4867.53 	5056.93 
A,EUR,NET,P1_NCH_AW50,LU	20883.64 	21107.97 	21777.19 	22244.21 	22682.48 	22867.92 	23071.22 	24487.18 	25016.42 	26163.37 
A,EUR,NET,P1_NCH_AW50,LV	2612.04 	2739.27 	2827.38 	2980.64 	3240.17 	3510.79 	3765.26 	4088.36 	4665.98 	5095.17 
A,EUR,NET,P1_NCH_AW50,MT	8005.13 	8664.38 	8944.13 	9168.00 	8962.50 	9128.63 	9558.00 	9776.63 	10114.13 	10583.25 
A,EUR,NET,P1_NCH_AW50,NL	17678.46 	18116.27 	18390.76 	18830.55 	19602.39 	20060.26 	21126.06 	21461.92 	21761.50 	22645.70 
A,EUR,NET,P1_NCH_AW50,NO	22939.82 	24493.05 	26292.05 	26189.65 	25156.80 	24360.04 	24072.43 	24633.43 	24708.57 	24891.44 
A,EUR,NET,P1_NCH_AW50,PL	3547.79 	3639.50 	3712.90 	3827.97 	4090.74 	4233.16 	4191.47 	4533.61 	4885.26 	5277.50 
A,EUR,NET,P1_NCH_AW50,PT	7361.19 	7212.56 	7582.80 	7846.98 	7704.26 	7729.25 	7821.93 	8001.39 	8200.88 	8360.14 
A,EUR,NET,P1_NCH_AW50,RO	2019.23 	2126.55 	2083.82 	2256.24 	2390.22 	2641.58 	2877.90 	3151.05 	3458.56 	3895.15 
A,EUR,NET,P1_NCH_AW50,SE	15477.55 	16687.58 	17836.31 	18368.84 	18036.38 	17756.62 	17927.48 	18036.92 	17379.24 	17506.56 
A,EUR,NET,P1_NCH_AW50,SI	6513.36 	6676.89 	6757.80 	6825.42 	6915.40 	6962.51 	7043.00 	7206.92 	7445.76 	7775.37 
A,EUR,NET,P1_NCH_AW50,SK	4035.36 	4040.31 	4133.20 	4217.46 	4378.07 	4559.57 	4659.40 	4869.95 	5090.85 	5392.81 
A,EUR,NET,P1_NCH_AW50,UK	16035.76 	16073.90 	17743.12 	17366.32 	18478.04 	21106.19 	19258.41 	18680.71 	19008.87 	19832.95 
A,EUR,NET,P1_NCH_AW50,US	13981.33 	13700.75 	15099.45 	14584.84 	14955.59 	18211.87 	18577.30 	18658.96 	18717.95 	20428.19 
